Congress,Senate_majority,Denate_democrats,Senate_republicans,House_majority,House_democrats,House_republicans,President_party
93,D,56,42,D,242,192,R
94,D,61,37,D,291,144,R
95,D,61,38,D,292,143,D
96,D,58,41,D,277,158,D
97,R,46,53,D,242,192,R
98,R,46,54,D,269,166,R
99,R,47,53,D,253,182,R
100,D,55,45,D,258,177,R
101,D,55,45,D,260,175,R
102,D,56,44,D,267,167,R
103,D,57,43,D,258,176,D
104,R,47,53,R,204,230,D
105,R,45,55,R,206,227,D
106,R,45,55,R,211,223,D
107,D,50,49,R,212,221,R
108,R,48,51,R,205,229,R
109,R,44,55,R,202,232,R
110,D,49,49,D,233,202,R
111,D,57,41,D,257,178,D
112,D,51,47,R,193,242,D
113,D,53,45,R,201,234,D
114,R,44,54,R,188,247,D
115,R,46,52,R,194,241,R
