bill_subject,number_of_bills
ACTION,1
Abandonment of buildings,2
Abortion,426
Absentee voting,10
Access to airports,2
Accident prevention,7
Accounting,33
Acid precipitation (Meteorology),29
Acid rain,3
Acreage allotments,15
Actions and defenses,16
Acupuncture,1
Administration of criminal justice,30
Administration of justice,20
Administration of juvenile justice,6
Administrative fees,2
Administrative law and regulatory procedures,24
Administrative law judges,13
Administrative procedure,442
Administrative remedies,2
Administrative responsibility,1
Adoption,105
Adult education,14
Advertising,35
Aeronautics,9
Aerosol propellants,2
Affirmative action programs,13
Age and employment,74
Age discrimination,28
"Aged, blind, and disabled",1
Agent Orange,5
Aggression,1
Agribusiness,13
Agricultural appropriations,5
Agricultural assistance,4
Agricultural chemicals,1
Agricultural colleges,11
Agricultural cooperatives,6
Agricultural credit,240
Agricultural education,4
Agricultural estimating and reporting,4
Agricultural expenditures,1
Agricultural experiment stations,2
Agricultural extension work,3
Agricultural industries,4
Agricultural innovations,3
Agricultural insurance,63
Agricultural labor,74
Agricultural law and legislation,7
Agricultural machinery,3
Agricultural pests,5
Agricultural policies,78
Agricultural pollution,2
Agricultural price supports,275
Agricultural prices,8
Agricultural production,9
Agricultural research,45
Agricultural societies,7
Agricultural statistics,33
Agricultural subsidies,17
Agricultural surpluses,26
Agricultural taxes,5
Agriculture and Rural Affairs,3
Agriculture and food,5024
Agriculture in foreign trade,214
Aid to dependent children,132
Air cargo,7
Air cargo rates,1
Air force,12
Air force personnel,4
Air piracy,59
Air pollution control,144
Air pollution control equipment,1
Air quality,11
Air routes,5
Air traffic,36
Air traffic controllers,7
Air travel,1
Airborne troops,1
Aircraft,43
Aircraft carriers,5
Aircraft industry,2
Aircraft pilots,8
Airline employees,6
Airline law and legislation,33
Airline passenger traffic,4
Airline rates,86
Airlines,117
Airmail service,5
Airports,92
Airspace (Law),1
Alcohol,34
Alcohol and women,1
Alcohol and youth,12
Alcohol as fuel,70
Alcohol tax,5
Alcoholic beverage control,7
Alcoholic beverage industry,2
Alcoholic beverages,73
Alcoholism,24
Alien labor,35
Aliens,223
Alliances,1
Alloys,1
Alternative energy sources,16
Aluminum,1
Alzheimer's disease,7
Amateur radio stations,1
Ambulances,5
American Revolution Bicentennial,62
American agricultural assistance,9
American economic assistance,97
American investments,13
American military assistance,103
American property in foreign countries,1
American studies,1
American technical assistance,4
Americans,4
Americans employed in foreign countries,5
Americans in foreign countries,10
Ammunition,32
Amnesties,31
Amusement parks,4
Anadromous fishes,11
Animal germplasm resources,1
Animals,1032
Animals and birds,1
Anniversaries,338
Antibiotics,2
Antiinflationary programs,6
Antipoverty program,23
Antisatellite weapons,2
Antisemitism,1
Antitrust actions,8
Antitrust law,524
Antitrust law (International law),2
Antitrust policy,19
Apartheid,1
Appalachia,2
Appellate courts,15
Appellate procedure,1
Apprenticeship,3
Appropriations,1083
Aquaculture,24
Aquariums,2
Aquatic resources,4
Aquatic weed control,2
Arab-Israeli conflict,1
Archaeology,26
Architecture,1
Architecture and the disabled,13
Archives,24
Armed forces abroad,45
Armed forces and national security,13330
Armed forces reserves,85
Armistices,1
Arms control,223
Arms control agreements,32
Arms control negotiations,81
Arms race,1
Arms sales,127
Army,2
Army posts,3
Arrest,5
Arson,26
Art,11
Art and state,3
Art objects,21
Arthritis,1
Artificial satellites,7
Artists,6
Arts,19
"Arts, culture, religion",678
Asbestos,25
Asian American ethnic groups,6
Asian studies,4
Asphalt,2
Assassination,23
Assault,3
"Associations, institutions, etc.",1
Athletes,7
Athletics,30
Atmospheric research,1
Atomic bomb,3
Attorneys general,2
Audiovisual education,2
Auditing,4
Authors and authorship,1
Autism,3
Auto restricted zones,1
Automation,2
Automobile engines,2
Automobile fuel consumption,10
Automobile industry,34
Automobile inspection,3
Automobile insurance,28
Automobile repair,1
Automobile safety appliances,19
Automobile safety standards,23
Automobile theft,14
Automobiles,20
Automotive engineering,6
Autopsy,1
Aviation,10
Aviation agreements,5
Aviation fuels,4
Aviation insurance,5
Aviation medicine,3
Aviation safety,52
Avionics,1
"Awards, medals, prizes",397
Bail,21
Bail alternatives,1
Baked products,1
Balance of payments,1
Balanced budgets,9
Ballistic missiles,1
Bank accounts,3
Bank deposits,15
Bank directors,4
Bank examination,3
Bank failures,5
Bank holding companies,31
Bank loans,1
Bank management,4
Bank mergers,1
Bank notes,1
Bank records,4
Bank reserves,5
Banking law,34
Bankruptcy,303
Barber and beauty shops,3
Barbiturates,1
Barges,5
Barter,2
Baseball,8
Beach erosion,22
Beaches,6
Bearings,1
Beef,16
Beer,6
Bees,4
Beverage containers,14
Beverages,3
Bicentennial of the Constitution,2
Bicycles,21
Bikeways,10
Bilingual education,27
Bilingual election requirements,22
Bilingualism,12
Bill of Rights,1
Biological pest control,3
Biological research,3
Biological warfare,5
Biomass energy,7
Birds,10
Birth control,70
Birth defects,4
Black history,9
Black judges,1
Black lung,22
Blacks,3
Blind,28
Blood,37
Blood banks,3
Blood diseases,18
Blood donors,3
Boating accidents,2
Boats and boating,26
Bomber aircraft,3
Bombings,2
Bonds,6
Books,5
Botanical gardens,2
Botany,2
Boundaries,5
Boxing,4
Boy Scouts,11
Boycott,5
Branch banking,1
Breast cancer,1
Breeder reactors,1
Bribery,8
Bridges,130
Broadcast journalism,3
Broadcasting,188
Broadcasting of congressional proceedings,29
Brokers,3
Building construction,2
Building laws,1
Building leases,1
Building materials,1
Burglary insurance,3
Burns,1
Business and commerce,3
Business and social problems,1
Business education,1
Business ethics,3
Business income tax,11
Business insurance,21
Busing (School integration),150
Buy American,37
Cabinet officers,5
Cable television,18
Calendar,15
Campaign funds,176
Camping,17
Canals,55
Cancer,19
Cancer research,19
Canning and preserving industry,8
Capital,3
Capital gains tax,175
Capital investments,9
Capital punishment,63
"Capitol (Washington, D.C.)",68
Car pools,8
Carcinogens,2
Cardiovascular diseases,2
Cargo theft,2
Cartels,4
Cattle,11
Cemeteries and funerals,380
Census,115
Central Valley Reclamation Project (California),1
Certificates of deposit,5
Chambers of commerce,1
Charitable contributions,1
Charities,17
Checks,10
Cheese,1
Chemical industries,1
Chemical research,1
Chemical warfare,27
Chemicals,20
Chesapeake Bay,1
Child abuse,54
Child development,3
Child health,10
Child labor,22
Child welfare,79
Children's rights,2
Chromium,1
Chronology,1
Church and education,20
Church and state,1
Cigarettes,4
Citizen lawsuits,3
Citizen participation,1
Citizenship,81
Citizenship education,7
Citrus fruits,2
Civil War,3
Civil commitment,1
Civil defense,51
Civil engineering,2
Civil procedure,71
